IndustryCode,DataYear,Gamma
311119,2007,0.011572448403478477
311211,2007,0.00972983214062464
311212,2007,0.05078394797663726
311213,2007,0.010645404547922687
311221,2007,0.16479270377250327
311222,2007,0.08594030215953923
311223,2007,-0.02972852224666574
311225,2007,0.019026793353671256
311230,2007,0.02210325085771588
311311,2007,0.04398979362246239
311312,2007,-0.0022664384897019565
311313,2007,0.0509942135575897
311320,2007,0.06842875093253048
311330,2007,0.024338910803018064
311340,2007,0.01988261795728081
311411,2007,0.0763380604530967
311412,2007,0.012275960741344192
311421,2007,0.025877848627812918
311422,2007,-0.02657522763892217
311423,2007,0.07424485888369498
311511,2007,0.0000847370984644877
311512,2007,0.03230717850271594
311513,2007,0.12107404004409864
311514,2007,0.017261453948478785
311520,2007,-0.011562438329093132
311611,2007,0.0450806607034622
311612,2007,0.018815656150500477
311613,2007,0.011596135820863033
311615,2007,0.06440373156896602
311711,2007,0.09734236064760891
311712,2007,0.11655198742423792
311811,2007,0.010812873257413614
311812,2007,0.001889807143048224
311813,2007,0.010183402691893571
311821,2007,0.015381750104327522
311822,2007,0.006274911977686293
311823,2007,0.004703610147867009
311830,2007,0.06381570507954915
311911,2007,0.07119661548702096
311919,2007,0.017020612245407813
311920,2007,-0.007638469444888795
311930,2007,0.03543610498255558
311941,2007,-0.001366689567281417
311942,2007,0.00524746143159052
311991,2007,0.030978207622019253
311999,2007,0.007494917446304498
311,2012,0.006106626364232052
311111,2012,0.023598968794672357
311119,2012,0.011688825438011296
311211,2012,0.0031990506391484912
311212,2012,0.23471395985007426
311213,2012,0.05703934541138431
311221,2012,0.1234622387734829
311224,2012,0.0436320518103089
311225,2012,0.020374822895391262
311230,2012,0.05042945829809739
311313,2012,0.048327676218181626
311314,2012,0.07307285314848494
311340,2012,0.040963254517996824
311351,2012,0.0588130606112107
311352,2012,0.014863514780093658
311411,2012,0.08614300839383772
311412,2012,0.008846100769111093
311421,2012,0.035525917442897424
311422,2012,-0.028541432725736036
311423,2012,0.07502049387564272
311511,2012,-0.0013514043607344372
311512,2012,0.026907877832782087
311513,2012,0.12432942141094692
311514,2012,0.02689627496692769
311520,2012,-0.012142772349283298
311611,2012,0.041119261667322486
311612,2012,0.022339468966680265
311613,2012,0.008077371277304617
311615,2012,0.05325415881712929
311710,2012,0.1220349867959839
311811,2012,0.010441616995621638
311812,2012,0.0021008224957364094
311813,2012,0.002868432715528712
311821,2012,0.016625501494759477
311824,2012,0.01074367096070757
311830,2012,0.0457750200700182
311911,2012,0.07099623256917521
311919,2012,0.022450712762684514
311920,2012,-0.017882629257722025
311930,2012,0.029943029017827697
311941,2012,-0.0030913279824161008
311942,2012,0.011575603023429575
311991,2012,0.03874849476956733
311999,2012,0.013991838775575036
